ID_TIPO_DOCUMENTO,ID_SEXO_BIOLOGICO,FECHA_NACIMIENTO,ID_PAIS,ID_MUNICIPIO,PERIODO
CC,M,06/15/2001 12:00:00 AM,170,76736,20202
TI,F,06/30/2003 12:00:00 AM,170,76834,20202
CC,M,03/17/2001 12:00:00 AM,170,76834,20202
CC,M,06/14/2001 12:00:00 AM,170,76834,20202
CC,M,08/07/2000 12:00:00 AM,170,76834,20202
TI,F,12/07/2003 12:00:00 AM,170,76834,20202
TI,M,01/20/2004 12:00:00 AM,170,76834,20202
CC,M,08/30/2002 12:00:00 AM,170,76834,20202
CC,M,04/25/2001 12:00:00 AM,170,76622,20202
CC,M,07/09/2001 12:00:00 AM,170,76622,20202
CC,M,09/06/2001 12:00:00 AM,170,76834,20202
CC,M,08/20/2001 12:00:00 AM,170,76834,20202
TI,F,12/17/2003 12:00:00 AM,170,76109,20202
TI,M,11/01/2003 12:00:00 AM,170,76622,20202
TI,M,08/26/2003 12:00:00 AM,170,25307,20202
TI,M,12/16/2003 12:00:00 AM,170,76109,20202
CC,F,12/31/2002 12:00:00 AM,170,76834,20202
TI,M,09/13/2003 12:00:00 AM,170,76834,20202
CC,M,10/11/1999 12:00:00 AM,170,76001,20202
CC,F,02/28/2000 12:00:00 AM,170,76834,20202
TI,M,02/10/2000 12:00:00 AM,170,76834,20202
CC,M,01/04/2000 12:00:00 AM,170,76001,20202
CC,F,06/26/2000 12:00:00 AM,170,76834,20202
CC,F,02/16/2003 12:00:00 AM,170,76834,20202
CC,M,11/02/2000 12:00:00 AM,170,76834,20202
CC,F,07/20/2002 12:00:00 AM,170,76616,20202
CC,F,11/24/2000 12:00:00 AM,170,76834,20202
CC,M,04/19/2002 12:00:00 AM,170,76834,20202
CC,M,09/30/2000 12:00:00 AM,170,76834,20202
CC,F,11/19/2000 12:00:00 AM,170,76001,20202
CC,M,01/23/2000 12:00:00 AM,170,76834,20202
CC,M,10/05/2000 12:00:00 AM,170,76834,20202
CC,F,12/21/2000 12:00:00 AM,170,76834,20202
TI,M,06/09/2000 12:00:00 AM,170,76001,20202
CC,F,08/21/2000 12:00:00 AM,170,76834,20202
CC,M,05/03/1993 12:00:00 AM,170,76834,20202
TI,F,01/02/2004 12:00:00 AM,170,11001,20202
CC,F,04/01/1990 12:00:00 AM,170,76828,20202
TI,F,03/19/2004 12:00:00 AM,170,11001,20202
TI,F,08/30/2003 12:00:00 AM,170,11001,20202
TI,M,12/09/2003 12:00:00 AM,170,11001,20202
CC,M,08/09/1993 12:00:00 AM,170,76109,20202
TI,F,10/22/2003 12:00:00 AM,170,76828,20202
TI,M,11/11/2003 12:00:00 AM,170,13001,20202
TI,M,09/19/2004 12:00:00 AM,170,13001,20202
CC,M,08/16/1996 12:00:00 AM,170,76834,20202
TI,F,12/11/2003 12:00:00 AM,170,17001,20202
TI,M,05/29/2004 12:00:00 AM,170,19001,20202
TI,M,02/21/2005 12:00:00 AM,170,19001,20202
CC,F,08/10/2003 12:00:00 AM,170,19318,20202
CC,M,06/08/1988 12:00:00 AM,170,76834,20202
TI,F,12/01/2003 12:00:00 AM,170,41551,20202
