Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-04-17 15:54:58,phone,1977,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Muy buenos,02:30
2024-04-17 15:06:17,phone,1991,"Si, lo sé muy bien",Ninguno,Muy buenos,00:35
2024-04-17 14:05:38,phone,1992,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Muy buenos,02:00
2024-04-17 13:18:27,phone,1987,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,01:02
2024-04-17 13:12:06,computer,1991,"Más o menos, pero no lo sé todo.",Ninguno,Regulares,00:31
2024-04-17 13:08:38,computer,1989,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,02:05
2024-04-17 12:56:16,phone,22 mayo 1996,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:36
2024-04-09 13:12:17,computer,,,,,21:36
2024-04-09 12:35:02,computer,,"No, no tengo conocimiento de esta institución",Cliente de la ciudadela,No he utilizado los servicios,03:45
2024-04-08 21:40:23,computer,,,,,53:33
2024-04-08 20:53:20,phone,,Entiendo pero no tengo pleno conocimiento,,,00:43
2024-05-23 13:15:26,teléfono,1980,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:54
2024-05-23 13:17:03,teléfono,1994,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:26
2024-05-23 13:32:31,teléfono,,"Si, lo sé muy bien",Cliente del Bicentenario,Pésimos,01:01
2024-05-23 13:47:41,teléfono,2000,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,00:42
2024-05-23 14:00:41,teléfono,2004,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,01:02
2024-05-23 14:14:47,teléfono,1975,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:45
2024-05-23 15:28:03,teléfono,1960,"No, no conozco esta institución",Ninguno,Pésimos,00:46
